Wine Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Bottle Image,One Liner Description,Vintage,Soil Type,Grape Variety,Wine Type,Price of Bottle,Long decription,Winemaking Method,Ageing,Tasting Notes,Food Pairing,Expert Ratings,Soil_Text,VariantID,AltName
Château Haut-Batailley 1988,chateau-haut-batailley-1988,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2753b0e53cb6caee1373,Thu Dec 12 2024 18:11:31 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:55 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2753b0e53cb6caee134b_67386df8a8068b36ecc2f732_Chateau%2520Haut-Batailley%25201988.png,,"1988, 1986, 1990",gravel; clay,cabernet-sauvignon; merlot,red,698,,Classic Bordeaux methods,16–18 months in French oak barrels,"Dark fruit, cedar, tobacco, firm tannins","Ribeye steak, beef bourguignon, Parmesan",88+ (Wine Advocate),,354805,Chateau Haut-Batailley 1988
Château Haut-Batailley 1989,chateau-haut-batailley-1989,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2753302e0731d32f8816,Thu Dec 12 2024 18:11:31 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:56 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2753302e0731d32f8807_6734e1e9fd17aa5dc9ce595c_Chateau%2520Haut-Batailley%25201989.png,,"1989, 1990, 1995",gravel; clay,cabernet-sauvignon; merlot,red,888,,Classic Bordeaux methods,16–18 months in French oak barrels,"Ripe blackcurrants, earthy notes, elegant structure","Duck breast, mushroom risotto, Gruyère cheese",91 (Decanter),,354807,Chateau Haut-Batailley 1989
Château Haut-Brion 1980,chateau-haut-brion-1980,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27531432392beb002e59,Thu Dec 12 2024 18:11:31 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:56 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27531432392beb002e36_67385ad162341f743988bd15_Chateau%2520Haut-Brion%25201980.png,,"1980, 1982, 1985",gravel; clay,merlot; cabernet-sauvignon,red,3900,,Fermented in stainless steel,24–30 months in new French oak,"Dried black cherry, cigar box, truffle, smooth texture","Filet mignon, truffle pasta, Comté cheese",93 (Wine Spectator),,354809,Chateau Haut-Brion 1980
Château La Pointe Pomerol 1982,chateau-la-pointe-pomerol-1982,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b275342e6050038141faf,Thu Dec 12 2024 18:11:31 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:56 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b275342e6050038141f7b_6734e1e83586da1ece071dab_Chateau%2520La%2520Pointe%2520Pomerol%25201982.png,,"1982, 1985, 1989",gravel; clay; sand,merlot; cabernet-franc,red,688,,Traditional Bordeaux methods,18–20 months in French oak,"Ripe red fruit, leather, earthy tones","Duck breast, mushroom dishes, truffle risotto",91 (Wine Spectator),,354811,Chateau La Pointe Pomerol 1982
Château La Tour Haut-Brion 2005,chateau-la-tour-haut-brion-2005,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27549b03153bc38c1fee,Thu Dec 12 2024 18:11:32 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:56 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27549b03153bc38c1fc3_6732083aa36ce7bf17666f1b_Cha%25CC%2582teau%2520La%2520Tour%2520Haut%2520Brion%25202005.png,,"2005, 2009, 2010",gravelly-soils,merlot; cabernet-sauvignon,red,1080,,Fermented in stainless steel,18–24 months in French oak,"Blackberry, tobacco, spices, well-structured tannins","Grilled lamb, aged cheeses, venison",95 (Wine Advocate),,354813,Chateau La Tour Haut-Brion 2005
Château Lafon-Rochet 1986,chateau-lafon-rochet-1986,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2754cb384e11ef6fc118,Thu Dec 12 2024 18:11:32 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:56 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2754cb384e11ef6fc0ff_6734e1e87598599f97927e1b_Chateau%2520Lafon-Rochet%25201986.png,,"1986, 1988, 1990",gravel; clay,cabernet-sauvignon; merlot,red,848,,Classic Bordeaux vinification,16–18 months in French oak barrels,"Blackcurrants, cedar, tobacco, firm structure","Roast beef, hearty stews, Gruyère cheese",92 (Decanter),,354815,Chateau Lafon-Rochet 1986
Château Lagrange Saint-Julien 1981,chateau-lagrange-saint-julien-1981,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27542b2aafeb4cfb0a9c,Thu Dec 12 2024 18:11:32 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:56 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27542b2aafeb4cfb0a7b_6734e1ea3fb9b25a19886bdc_Chateau%2520Lagrange%2520Saint-Julien%25201981.png,,"1981, 1982, 1985",gravel; clay,cabernet-sauvignon; merlot,red,860,,Fermentation in stainless steel,20 months in French oak barrels,"Cassis, forest floor, tobacco, integrated tannins","Roast lamb, beef Wellington, aged cheeses",91 (Wine Enthusiast),,354817,Chateau Lagrange Saint-Julien 1981
Château Lalande-Borie 1990,chateau-lalande-borie-1990,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b275445ad0ffea9ce3011,Thu Dec 12 2024 18:11:32 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:57 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b275445ad0ffea9ce2f92_67386df89b4c89bda5759ad6_Chateau%2520Lalande-Borie%25201990.png,,"1990, 1995, 2000",gravel,merlot; cabernet-sauvignon,red,548,,Fermented in stainless steel,12–14 months in French oak,"Ripe plums, spice, soft tannins","Pork tenderloin, mushroom pasta, Brie cheese",88 (Wine Advocate),,354819,Chateau Lalande-Borie 1990
Château Lascombes 2012,chateau-lascombes-2012,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27545f874ed2f9e4e232,Thu Dec 12 2024 18:11:32 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:57 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27545f874ed2f9e4e220_6732083a691c6ea66828cfac_Chateau%2520Lascombes%25202012.png,,"2012, 2015, 2016",clay-limestone; gravel,merlot; cabernet-sauvignon,red,575,,Traditional Bordeaux methods,18 months in French oak (60% new),"Black cherries, vanilla, cocoa, silky texture","Grilled steak, roasted vegetables, Manchego",93 (Vinous),,354821,Chateau Lascombes 2012
Château Lynch-Moussas 2019,chateau-lynch-moussas-2019,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27556391c7c3e24369d2,Thu Dec 12 2024 18:11:33 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:57 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27546391c7c3e2436999_6732083c47d75de4711206e5_chateau%2520lynch%2520moussas%25202019.png,,"2019, 2020, 2021",gravelly-soils,cabernet-sauvignon; merlot,red,355,,Modern Bordeaux vinification,18 months in French oak barrels,"Dark fruit, graphite, hint of spice, polished tannins","Ribeye steak, roasted root vegetables, Parmesan",91 (Wine Advocate),,354823,Chateau Lynch-Moussas 2019
Château Monbousquet 1999,chateau-monbousquet-1999,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27561fae028cdb4e2c81,Thu Dec 12 2024 18:11:34 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:57 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27561fae028cdb4e2bd5_67385ad170c197f9a5fd33c6_Chateau%2520Monbousquet%25201999.png,,"1999, 2000, 2005",sand; gravel; clay,merlot; cabernet-franc,red,868,,Traditional Bordeaux methods,18–20 months in French oak,"Black cherry, mocha, earthy undertones","Roast duck, lamb stew, aged Gouda",90 (Wine Spectator),,354825,Chateau Monbousquet 1999
Château Pavie-Decesse Saint-Émilion 1989,chateau-pavie-decesse-saint-emilion-1989,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27558cf711197707fd3e,Thu Dec 12 2024 18:11:33 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:57 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27558cf711197707fd2d_6734e1eb380f36befdb4b974_Chateau%2520Pavie-Decesse%2520Saint-Emilion%25201989.png,,"1989, 1990, 1998",limestone,merlot; cabernet-franc,red,998,,Fermentation in stainless steel,18–24 months in French oak,"Ripe plum, vanilla, tobacco, smooth tannins","Filet mignon, mushroom risotto, soft cheeses",92 (Wine Advocate),,354827,Chateau Pavie-Decesse Saint-Émilion 1989
Château Pichon Longueville Comtesse de Lalande 2009,chateau-pichon-longueville-comtesse-de-lalande-2009,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2755f842cac1bdb1076b,Thu Dec 12 2024 18:11:33 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:57 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2755f842cac1bdb1073d_67320837366c9a47970de951_Chateau%2520Pichon%2520Longueville%2520Comtesse%2520de%2520Lalande%2520_Pichon%2520Comtesse%2520Reserve_%252C%2520Pauillac%25202009.png,,"2009, 2010, 2016",gravel,cabernet-sauvignon; merlot,red,558,,Modern Bordeaux vinification,18 months in French oak (50% new),"Blackcurrant, cedar, chocolate, velvety texture","Ribeye steak, venison, aged cheddar",96 (Wine Enthusiast),,354829,Chateau Pichon Longueville Comtesse de Lalande 2009
Château Poyferré 2012,chateau-poyferre-2012,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2755416c3d1485103f69,Thu Dec 12 2024 18:11:33 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:58 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2755416c3d1485103f4c_6732083a6e5b8c45f5cc9234_Chateau%2520Poyferre%25202012.png,,"2012, 2015, 2019",gravel; clay,cabernet-sauvignon; merlot,red,650,,Fermented in stainless steel,18–20 months in French oak,"Red and black fruits, hint of spice, integrated tannins","Braised beef, wild game, Gruyère cheese",94 (Wine Spectator),,354831,Chateau Poyferré 2012
Château Smith Haut Lafitte 1986,chateau-smith-haut-lafitte-1986,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2756d099ad1e4acb57e1,Thu Dec 12 2024 18:11:34 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:58 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2756d099ad1e4acb53ee_67386df973b190ea1e281836_Chateau%2520Smith%2520Haut%2520Lafitte%25201986.png,,"1986, 1988, 1990",gravelly-soils,cabernet-sauvignon; merlot,red,1248,,Classic Bordeaux vinification,16–18 months in French oak barrels,"Blackberry, earthy notes, smoky undertones","Roast lamb, grilled vegetables, Roquefort cheese",88 (Vinous),,354833,Chateau Smith Haut Lafitte 1986
Château Smith Haut Lafitte 2003,chateau-smith-haut-lafitte-2003,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27562b605982414dbdcb,Thu Dec 12 2024 18:11:34 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:58 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27562b605982414dbd8d_67386df912ab66f45bcf56c3_Chateau%2520Smith%2520Haut%2520Lafitte%25202003.png,,"2003, 2005, 2009",gravelly-soils,cabernet-sauvignon; merlot,red,1080,,Modern Bordeaux techniques,18 months in French oak (50% new),"Ripe blackcurrant, licorice, tobacco, rich texture","Beef Wellington, roasted duck, Comté",95 (Wine Advocate),,354835,Chateau Smith Haut Lafitte 2003
Château Talbot 2001,chateau-talbot-2001,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2757cc258dc50627b4a5,Thu Dec 12 2024 18:11:35 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:58 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2757cc258dc50627b406_67386df99e0da7d6b5da6a94_Chateau%2520Talbot%25202001.png,,"2001, 2003, 2009",gravel,cabernet-sauvignon; merlot,red,868,,Fermentation in stainless steel,16–18 months in French oak,"Black cherry, cedar, spice, smooth structure","Roast lamb, mushroom dishes, aged cheeses",90 (Decanter),,354837,Chateau Talbot 2001
Château Talbot 2018,chateau-talbot-2018,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2757cd0d40e1dbcc3209,Thu Dec 12 2024 18:11:35 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:59 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2756cd0d40e1dbcc31e6_67320839764d7bdd738f8ead_Chateau%2520Talbot%25202018.png,,"2018, 2019, 2020",gravel,cabernet-sauvignon; merlot,red,,,Modern Bordeaux vinification,18 months in French oak (50% new),"Dark fruit, mocha, hint of vanilla, polished tannins","Grilled steak, venison, Parmesan",95 (Wine Enthusiast),,354839,Chateau Talbot 2018
Château de Beaucastel Coudoulet de Beaucastel Blanc 2021,chateau-de-beaucastel-coudoulet-de-beaucastel-blanc-2021,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b274fcc258dc50627addb,Thu Dec 12 2024 18:11:27 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:52 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b274ecc258dc50627ad8b_6734e1ea380f36befdb4b928_Chateau%2520de%2520Beaucastel%2520Cotes%2520du%2520Rhone%2520Coudoulet%2520de%2520Beaucastel%2520Blanc%25202021.png,,2021,alluvial-soils,roussanne; marsanne,white,303,,Fermented in steel and oak,6–8 months in oak (partially new),"Peach, apricot, white flowers, honeyed notes","Grilled fish, white meats, Mediterranean dishes",92 (Robert Parker),,354773,Chateau de Beaucastel Coudoulet de Beaucastel Blanc 2021
Château de Pommard Clos Marey-Monge Chantrerie 2022,chateau-de-pommard-clos-marey-monge-chantrerie-2022,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27512e4aa9fca289345d,Thu Dec 12 2024 18:11:29 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:52 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27502e4aa9fca289340e_67320837d3f7246f12cefe61_Cha%25CC%2582teau%2520de%2520Pommard%2520Clos%2520Marey-Monge%2520Chantrerie%25202022%2520Red.png,,"2022, 2021",clay-limestone,pinot-noir,red,1040,,Wild fermentation,18–20 months in French oak,"Vibrant cherry, rose petal, silky texture","Venison, wild mushroom risotto, Brie cheese",93+ (Wine Advocate),,354787,Chateau de Pommard Clos Marey-Monge Chantrerie 2022
Château de Pommard Clos Marey-Monge Emilie 2022,chateau-de-pommard-clos-marey-monge-emilie-2022,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2751a4aaa0a8ec219133,Thu Dec 12 2024 18:11:29 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:52 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2750a4aaa0a8ec219120_6734626705b2fec5c3c57594_Cha%25CC%2582teau%2520de%2520Pommard%2520Clos%2520Marey-Monge%2520Emilie%25202022.png,,"2022, 2020, 2018",clay-limestone,pinot-noir,red,501,,Gentle extraction,18 months in French oak barrels,"Strawberry, floral notes, delicate spice","Duck confit, grilled salmon, goat cheese",93 (Vinous),,354789,Chateau de Pommard Clos Marey-Monge Emilie 2022
Château de Pommard Clos Marey-Monge Monopole 2011,chateau-de-pommard-clos-marey-monge-monopole-2011,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2751323f34ba9d24f9bb,Thu Dec 12 2024 18:11:29 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:53 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27505087a4313a2062e3_673208385ed161e1fce194d0_Cha%25CC%2582teau%2520de%2520Pommard%2520Clos%2520Marey-Monge%2520Monopole.png,,"2011, 2010, 2009",clay-limestone,pinot-noir,red,1180,,Whole-bunch fermentation,18 months in French oak barrels,"Aged red fruit, earthy notes, silky texture","Duck breast, mushroom dishes, soft cheeses",89 (Decanter),,354779,Chateau de Pommard Clos Marey-Monge Monopole 2011
Château de Pommard Clos Marey-Monge Monopole 2012,chateau-de-pommard-clos-marey-monge-monopole-2012,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2750391a4ea24dcd0887,Thu Dec 12 2024 18:11:28 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:53 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27505087a4313a2062e3_673208385ed161e1fce194d0_Cha%25CC%2582teau%2520de%2520Pommard%2520Clos%2520Marey-Monge%2520Monopole.png,,"2012, 2014, 2016",clay-limestone,pinot-noir,red,1180,,Traditional fermentation,16–18 months in French oak,"Bright cherry, floral aromas, balanced acidity","Coq au vin, grilled salmon, charcuterie",90 (Wine Advocate),,354781,Chateau de Pommard Clos Marey-Monge Monopole 2012
Château de Pommard Clos Marey-Monge Monopole 2013,chateau-de-pommard-clos-marey-monge-monopole-2013,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27505087a4313a206358,Thu Dec 12 2024 18:11:28 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:53 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27505087a4313a2062e3_673208385ed161e1fce194d0_Cha%25CC%2582teau%2520de%2520Pommard%2520Clos%2520Marey-Monge%2520Monopole.png,,"2013, 2014, 2017",clay-limestone,pinot-noir,red,1180,,"Cold maceration, oak maturation",16–18 months in French oak,"Red currants, cranberry, soft tannins","Pork loin, roasted vegetables, aged cheeses",89+ (Wine Spectator),,354783,Chateau de Pommard Clos Marey-Monge Monopole 2013
Château de Pommard Clos Marey-Monge Monopole 2016,chateau-de-pommard-clos-marey-monge-monopole-2016,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2751268ad26abf7a6025,Thu Dec 12 2024 18:11:29 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:53 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27505087a4313a2062e3_673208385ed161e1fce194d0_Cha%25CC%2582teau%2520de%2520Pommard%2520Clos%2520Marey-Monge%2520Monopole.png,,"2016, 2018, 2020",clay-limestone,pinot-noir,red,1480,,"Cold maceration, oak maturation",18 months in French oak barrels,"Ripe cherry, earthy undertones, structured finish","Beef Wellington, lamb shank, truffle pasta",92 (Burghound),,354785,Chateau de Pommard Clos Marey-Monge Monopole 2016
Château de Pommard Clos Marey-Monge Simone 2014,chateau-de-pommard-clos-marey-monge-simone-2014,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2751cd0d40e1dbcc2dba,Thu Dec 12 2024 18:11:29 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:53 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2751cd0d40e1dbcc2d88_67320839ebb8cbbc748d5e6c_Cha%25CC%2582teau%2520de%2520Pommard%2520Clos%2520Marey-Monge%2520Simone%25202014.png,,"2014, 2015, 2016",limestone,pinot-noir,red,2839,,"Whole-bunch pressing, oak aging",22 months in new French oak barrels,"Complex aromas of black cherry, truffle, and mocha","Filet mignon, aged Comté, rich mushroom dishes",95 (Wine Advocate),,354791,Chateau de Pommard Clos Marey-Monge Simone 2014
Château de Pommard Famille Carabello-Baum Chambolle-Musigny 2021,chateau-de-pommard-famille-carabello-baum-chambolle-musigny-2021,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b276b268ad26abf7a724d,Thu Dec 12 2024 18:11:55 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:54 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b276a268ad26abf7a7224_6732083cfa5c3213e15ff42f_Famille%2520Carabello-Baum%2520Chambolle-Musigny%25202021.png,,"2021, 2019",clay-limestone,pinot-noir,red,866,,Traditional fermentation,18 months in 25% new French oak,"Red currant, cherry, rose petal, silky tannins","Duck breast, mushroom dishes, soft cheeses",94 (Vinous),,355009,Chateau de Pommard Famille Carabello-Baum Chambolle-Musigny 2021
Château de Pommard Famille Carabello-Baum Chassagne-Montrachet 2021,chateau-de-pommard-famille-carabello-baum-chassagne-montrachet-2021,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b276bf842cac1bdb117d2,Thu Dec 12 2024 18:11:55 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:54 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b276bf842cac1bdb11778_67346f2f86d083fccf75fa1f_Famille%2520Carabello-Baum%2520Chassange%2520Montrachet%25202021.png,,"2021, 2020",limestone; marl,chardonnay,white,598,,Fermentation in oak barrels,12 months in French oak,"Citrus zest, white flowers, toasted hazelnuts","Scallops, buttery dishes, roasted chicken",93 (Wine Spectator),,355011,Chateau de Pommard Famille Carabello-Baum Chassagne-Montrachet 2021
Château de Pommard Famille Carabello-Baum Savigny-Lès-Beaune 2022 White,chateau-de-pommard-famille-carabello-baum-savigny-les-beaune-2022-white,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b276bd68d4adf129dcfb9,Thu Dec 12 2024 18:11:55 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:54 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b276bd68d4adf129dcfaa_6734628a7389be5ff713de8e_Chateau%2520de%2520Pommard%2520Famille%2520Carabello-Baum%2520Savigny-Les-Beaune%2520White.png,,"2022, 2021",clay-limestone,chardonnay,white,598,,Stainless steel fermentation,8 months in steel tanks,"Crisp apple, pear, light minerality","Grilled vegetables, creamy pastas",91 (Wine Enthusiast),,355013,Chateau de Pommard Famille Carabello-Baum Savigny-Les-Beaune 2022 White
Château de Pommard Famille Carabello-Baum Volnay Premier Cru 2014,chateau-de-pommard-famille-carabello-baum-volnay-premier-cru-2014,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b276ba4aaa0a8ec219e94,Thu Dec 12 2024 18:11:55 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:54 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b276ba4aaa0a8ec219e4a_6732083b9d61b7074e97c4fb_Famille%2520Carabello-Baum%2520Volnay%2520Premier%2520Cru%25202014.png,,"2014, 2012",limestone; marl,pinot-noir,red,784,,Traditional maceration and fermentation,18 months in 30% new French oak,"Dark cherry, earthy tones, silky structure","Game dishes, truffle pasta, aged cheese",93 (Wine Advocate),,355015,Chateau de Pommard Famille Carabello-Baum Volnay Premier Cru 2014
Château de Rochemorin Pessac-Léognan 2017,chateau-de-rochemorin-pessac-leognan-2017,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2752302e0731d32f87a3,Thu Dec 12 2024 18:11:30 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:54 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2751302e0731d32f877d_67386df84dc9e54784e14318_Chateau%2520de%2520Rochemorin%2520Pessac-Leognan%25202017.png,,"2017, 2019, 2020",gravelly-soils,sauvignon-blanc; semillon,white,229,,Fermented in stainless steel,8–10 months in oak barrels,"Citrus, peach, smoky minerality","Grilled seafood, goat cheese, poultry dishes",91 (Wine Enthusiast),,354793,Chateau de Rochemorin Pessac-Léognan 2017
